Timestamp,Price (USD)
1710958154833,64533.053787993405
1710961701497,65319.92288074699
1710965064373,65738.98112643794
1710968657343,67109.50104556921
1710972254621,67689.54455608714
1710976216758,67583.34048288445
1710979755524,67736.4259778639
1710983102447,67779.07402686452
1710986817969,67883.26168746052
1710990136351,67528.20969309898
1710993882975,66772.58458212754
1710997285891,66709.6296260523
1711001273892,67200.39978443869
1711004767299,66916.91466055493
1711008341539,67024.48744477087
1711011999708,67278.20159256904
1711015320117,66860.05257454701
1711019541001,66894.3138560201
1711022703025,67064.16784828574
1711026299077,67233.36352802893
1711029891244,66640.35129146212
1711033405525,66909.21841022803
1711037266622,66400.4735866558
1711040424465,66661.40508042807
1711044199129,65723.27266854023
1711048128134,65209.88193200494
1711051480137,65466.88091626686
1711055317765,65423.26017705509
1711058588476,65628.15563820335
1711062094159,65420.32765696146
1711066113417,65487.67010630758
1711069586089,65728.43512343396
1711073227339,65255.60786886255
1711076783075,65741.15677513194
1711080283200,65953.72613424802
1711083847693,66216.7457795389
1711087589655,66387.39598778218
1711090827156,66405.98882865804
1711094819622,66200.70890128467
1711098486444,65994.57004759152
1711101956972,65593.99945701344
1711105495536,64775.111091811785
1711109080219,64240.67346237847
1711112623183,64249.3692173858
1711116511065,63329.59186045996
1711120169922,62770.46543108516
1711123480531,63881.03199143812
1711127240912,63510.353006967125
1711130526884,63559.63123211431
1711134072648,63740.50752019181
1711138062934,63931.88321477799
1711141426876,63481.18453096621
1711145002289,62932.57999820455
1711148642230,63028.43134094648
1711152141765,63659.276944686935
1711156083751,63680.48869597253
1711159617730,64126.33516301028
1711163008466,63871.77731690945
1711166438352,63547.754140532576
1711170308878,63873.620861000396
1711173825669,64088.8299601599
1711177322326,64181.241868893674
1711180992686,64561.058663030606
1711184822172,64445.80496609198
1711188299651,64474.10720514408
1711191724962,64340.486910141655
1711195451586,64650.70700462974
1711198978824,64691.12725663039
1711202775953,64580.112625294336
1711206159136,65318.717795843244
1711210052676,65063.237279134184
1711213232404,65689.12067349433
1711217012714,65632.95288772449
1711220679422,65370.62205811217
1711224349557,64934.57022298843
1711227603186,64991.21682553603
1711231304194,64935.592818292585
1711235251986,64748.901211039374
1711238939622,64151.87481826012
1711242186368,64553.807622001514
1711245946556,64465.82645551315
1711249373396,64235.77074582599
1711253128596,64008.89335485096
1711256612181,64277.25518460307
1711260282696,64331.98591231081
1711263798363,64206.608088257955
1711267539780,64576.04323518514
1711270817927,65084.42449269997
1711274760036,64887.0514438739
1711278563747,65020.0583763199
1711281991614,65425.38129566778
1711285255336,65637.34127821698
1711289094956,65322.767747618454
1711292644144,65662.25387268793
1711296342729,65642.00498346581
1711299839009,65333.41475251083
1711303670432,65406.35818449519
1711307270917,65932.19660040802
1711310594105,65842.28949443022
1711314448385,66327.43616102044
1711318096543,66786.71069520693
1711321326161,66956.25831239528
1711325311036,67078.25188825473
1711328450366,66587.23479864803
1711332206584,66559.57864567394
1711335727861,66704.93440299753
1711339432280,67253.43640881716
1711343250626,67531.04807491203
1711346715258,67418.08931267902
1711350571835,67241.9797137995
1711354168701,66910.06241242513
1711357687079,66922.75808980028
1711360948358,66966.94213160688
1711364653419,66997.3414691361
1711368483714,67022.90229866483
1711371896083,67062.77637701314
1711375856496,68171.98383541008
1711379061135,69284.59048267968
1711382929168,69766.25809015524
1711386272724,70241.69607416382
1711389618812,70347.17365749697
1711393724340,70789.94536035703
1711397005408,71007.16531375094
1711400542294,70925.0162289087
1711404172842,69916.50259481133
1711407855227,70368.50947972789
1711411568440,69946.15807812347
1711415015460,69875.69755001496
1711418588156,70243.08380886438
1711422476111,70444.86898644148
1711426020443,70606.75438846345
1711429744895,70587.87537351949
1711433071486,70303.9775667453
1711436821749,70801.94502043219
1711440368364,70439.02959732697
1711443635260,70606.09046669709
1711447664051,71123.33017385153
1711451125588,70914.53437100319
1711454884529,70606.28960259762
1711458556268,70969.37886981932
1711461808622,70358.07953894803
1711465485923,70303.11831929775
1711468963940,70229.0097498018
1711472921756,69901.91050851512
1711476084746,70091.1167060653
1711479971055,70012.84503984587
1711483449177,69567.22523440224
1711486940224,69780.23339775385
1711490989070,70005.47611216138
1711494847799,70258.04247613561
1711498372797,69928.89614021695
1711501777426,70560.29875226483
1711505480029,70249.5042721466
1711508885053,70587.94068079986
1711512576691,70404.08626078432
1711516017804,70207.81373294971
1711519256822,70443.59101453355
1711523144606,70332.02143269757
1711526766695,69827.86825494816
1711530484890,69511.32384159049
1711534051623,70065.11768551926
1711537302562,70108.64836939916
1711541198159,70178.07017378916
1711545001404,70564.6853100495
1711548212610,70002.67927698849
1711552356169,69768.8031184416
1711555744111,69128.64276340636
1711559219423,69237.22274954454
1711563140294,68711.53296003479
1711566308147,68512.60708894888
1711570388445,68892.9624376499
1711573309587,68812.07218189248
1711576888875,68897.5788744662
1711580740732,69406.85341660514
1711584767340,69491.20960736663
1711587741423,69667.97713828342
1711591909305,69446.65248179654
1711595211989,69079.83441639614
1711598942605,69336.86546147561
1711602189910,69688.58587134375
1711605769559,69711.4001862299
1711609365326,70280.3511805213
1711613476686,70511.76862806825
1711616481769,70562.87802202872
1711620025700,70594.08127013895
1711624049968,70709.69693497256
1711627655070,70715.06315332449
1711631172745,70549.63120762739
1711635013486,70933.00956138897
1711638289288,71551.78654469653
1711641874253,71290.03046718154
1711645362515,70651.4575964369
1711649059830,70777.33681693576
1711652951612,70633.73660420907
1711656093786,70857.91759168544
1711659644571,70700.27799886555
1711663659201,70734.84577639465
1711667392689,70817.35435689316
1711670822225,70744.42441692349
1711674468170,70694.48005940203
1711677915631,70817.0202375413
1711681702578,70686.00465627707
1711685535680,70442.66752187049
1711689067312,70379.97169383001
1711692126268,70199.82756395357
1711695817403,70438.06752742469
1711699350831,69835.74921846428
1711703161047,69956.42149624269
1711706981363,69734.6751734077
1711710150456,70111.5770534737
1711713794240,70171.54038889699
1711717386708,70166.73684073053
1711721509681,70451.71366168032
1711724648850,70088.60655328099
1711728466803,69310.17294396741
1711732192275,69200.5534515082
1711735473144,69432.58774240862
1711738813769,69496.38370749578
1711742679337,69671.7817568704
1711746601842,69592.1247935203
1711749848103,69453.81174154938
1711753702824,69928.194964586
1711756906844,69906.3601516673
1711761065694,69879.08177375929
1711764752366,70000.33924835018
1711768115480,69946.62566419902
1711771875560,69876.50773092965
1711775289143,70342.62825199634
1711778892668,69993.69822343232
1711782694276,69965.52751036559
1711786248360,69909.62947172619
1711789705130,69966.6849975713
1711793275357,70054.85964219787
1711796972130,70141.46168819138
1711800299445,70212.70191019075
1711804159522,70290.04906804294
1711807573399,70179.01485359542
1711811395365,70134.3825664161
1711814672926,70041.06744242588
1711818398174,70207.92254323962
1711822244645,70059.88258540482
1711825640547,69887.96590049165
1711829303586,69888.20736567445
1711832579780,69846.36521695401
1711836475895,69762.82560475214
1711839723392,69744.13074270339
1711843518200,69622.30923369367
1711847252973,69872.59826390781
1711850552642,70055.51523593791
1711854274416,69996.88476668348
1711858167001,69917.22342623175
1711861427478,70129.97891203023
1711865291630,70352.19587638557
1711868532639,70219.2236140398
1711872572436,70325.97653406506
1711875789297,70244.13468115508
1711879417462,70258.989943178
1711883519298,70342.80281528807
1711887012694,70418.0518099381
1711890619393,70564.9435693011
1711893940213,70602.6300346646
1711897722978,70471.71664438462
1711900937248,70391.97904093297
1711904952294,70459.72812439363
1711908571365,70505.175341413
1711912265153,70755.51331159186
1711915833801,71095.96494214122
1711919050649,70833.205560557
1711922644278,70787.5565487249
1711926455022,70932.19761892733
1711930196348,71229.87655843626
1711933967449,71087.25098030263
1711937529850,70854.60005957093
1711940919485,70877.82737240873
1711944408457,70619.47504803985
1711947642579,70450.85253074118
1711951350459,69236.61393631532
1711955278210,69686.6032574771
1711958895598,69522.45722667436
1711962214189,69433.17938185587
1711965851821,69439.14582052667
1711969251509,69614.25770884354
1711973300060,69505.77873187968
1711976415204,69771.22027973064
1711980733147,69716.7387720348
1711984400766,68613.05627372122
1711987734901,68368.60320757983
1711991117695,68647.15823839215
1711994930182,68548.97411085614
1711998469853,68984.68530295773
1712002376222,69617.79569684096
1712005516695,69773.77492380183
1712009272278,69701.60145938995
1712012683305,69770.20184774762
1712016623415,69609.57814998928
1712020075335,69394.5437783541
1712023963634,69320.06902054936
1712027352809,67176.10136218855
1712030758050,66933.85310279732
1712034513764,66671.39910443817
1712038080709,66862.4215085759
1712041405158,66936.30151190482
1712045045975,66546.36940230262
1712048861964,65855.38101245622
1712052284555,66128.45638286824
1712055739985,65868.6789275122
1712059286969,65509.00792365257
1712063161279,65319.4841988721
1712066458181,65069.14840403641
1712070295601,65682.12440219843
1712074429906,65075.587301571795
1712077732247,65575.63144062112
1712081551226,65528.738122162395
1712084753851,65867.48770254257
1712088249135,66122.2927223462
1712091797288,65673.8967241405
1712095270586,65710.53567781566
1712099459638,65773.80242597149
1712102773039,65534.30491580929
1712106174663,65361.58666035539
1712109721574,65862.7951120461
1712113934502,65816.56429769016
1712117043007,66220.29156494063
1712121129757,66311.19445004368
1712124523344,66168.26565312546
1712128337010,66287.9020179715
1712131662043,66120.84938255069
1712135593016,66537.5720223001
1712138849240,66459.67293437496
1712142516362,66112.43335472258
1712146246048,66092.90219264042
1712149394886,65964.2296585029
1712153046145,65831.28602966432
1712157031448,66604.75744540128
1712160176107,65866.7598419646
1712164192202,66183.96012117567
1712167979694,65840.13660777804
1712170938994,66044.01653029339
1712174678369,65828.98237712019
1712178275939,65714.2207783053
1712182099073,65988.3056752151
1712185275281,66212.36390036279
1712189472392,66103.92369277785
1712192725240,66282.96477205383
1712196156618,66153.3532735734
1712199658933,65814.7986952181
1712203481697,65698.28348738086
1712206873016,65536.53608747096
1712210593602,65619.9905509694
1712214268683,65800.60278272994
1712217659450,66055.60832695603
1712222126559,66353.25203442888
1712224818470,66282.405411214
1712228617888,66258.70283762734
1712232195125,66336.89383199692
1712235759395,66601.96670974715
1712239515174,67260.32176218054
1712243300656,67712.62756628517
1712246853143,67638.05459456639
1712250469249,67806.33511837569
1712254120888,69199.13410727492
1712257529814,68628.86092664195
1712261018304,68472.36076999798
1712264821761,68007.87196715942
1712268358503,67748.48962178483
1712271810680,67933.71324422375
1712275297534,68542.17715279506
1712279077642,68679.19667510383
1712282754345,68144.73893823204
1712286525376,67705.81319113576
1712289716529,67888.97940549186
1712293713904,67725.98432504019
1712297357299,66875.36202542082
1712300427461,67112.70907250958
1712304481607,66991.12564999942
1712307846762,67115.68644434559
1712311763070,66841.58629705776
1712314856758,67019.80761399007
1712318447453,66484.52210227617
1712322690216,66763.36079200491
1712325638653,67558.8445902483
1712329295150,68252.61623274403
1712333012972,68229.67217100746
1712336628909,67923.36299115152
1712340196814,67426.50776899449
1712344089032,67839.17137498771
1712347789970,67396.99754872378
1712351248186,67701.93658198121
1712354623619,67591.71038900496
1712358196579,67733.47624573811
1712362256691,67830.31291434488
1712365839321,67987.12178481028
1712369086495,67694.55251095668
1712372875717,67687.1744473997
1712376185111,67837.26775292076
1712379759770,67779.39710913837
1712383782938,68008.9719652024
1712387283997,68123.5320858556
1712390646510,68016.7355348417
1712394259587,68069.61181798698
1712397723234,67829.44270443828
1712401701564,67897.8565185673
1712405343846,67687.75898167863
1712408577695,67766.59278758818
1712412603749,67794.1846925599
1712416057092,68000.62509921668
1712419330083,68142.46075168804
1712422835606,68106.50040665266
1712426621660,68306.07500134253
1712430450514,68323.95951501209
1712433972250,68253.24463261839
1712437713444,68439.94984358789
1712441326161,68343.58799760659
1712444503567,69073.92015414164
1712448493724,68988.34002109112
1712451815571,68981.9017907012
1712455404976,69597.2669550927
1712459114432,69310.40255857969
1712462807656,69486.99055245769
1712466156353,69336.54855066113
1712469869617,69414.78118524312
1712473268036,69221.64092865217
1712477291731,69477.08351893119
1712480514615,69531.03883062658
1712484537265,69263.74737858081
1712488295416,69371.37784903999
1712491533376,69375.49885410983
1712495029498,69354.46046709732
1712498884076,69345.41552380922
1712502585700,69582.01616129091
1712505990981,69531.0670269344
1712509552272,70046.16463447745
1712512872070,69789.78722920593
1712516440459,69411.32127496276
1712520035744,69225.05228360715
1712524166422,69326.57969926173
1712527344685,69041.41166941324
1712531152478,69212.383564871
1712534618306,69375.21817468692
1712538108827,69321.18604097283
1712541838033,69370.26715672415
1712545803124,69198.10726411817
1712548979755,69468.72573442703
1712552614677,69405.7117049456
1712556251793,69687.20403256321
1712559911599,69806.66233582818
1712563421586,70728.7534327255
1712566903741,72050.66504565878
1712570787828,72057.3533408632
1712574275567,72325.11721199931
1712577762650,72304.45364079691
1712581571538,72199.54451627939
1712585066675,71902.17962580727
1712588791885,71761.82004939498
1712592015354,71779.12922429088
1712595677789,71790.13339427212
1712599618773,71781.95484701698
1712602937953,71891.46888000265
1712606851061,71714.17141375359
1712610207120,71676.91738240849
1712613758888,71644.79038348017
1712617570508,71933.08365056089
1712621150037,71629.12882951798
1712624543008,71432.4700929229
1712628170177,71271.73009028405
1712631841120,71471.89078475675
1712635393582,71288.80221088571
1712638886498,71189.73415459349
1712642444728,71045.95917030361
1712646028765,70609.65173042263
1712649767796,70395.95200341081
1712653467075,70567.33343064452
1712657289055,70475.62182567797
1712660521390,70584.09834381234
1712664098667,70764.31468585627
1712667746589,70767.94792886895
1712671495105,69913.27681217287
1712675178190,69191.74100181756
1712678603137,69204.3130460297
